class,boundingbox_x,boundingbox_y,boundingbox_width,boundingbox_height,angle,confidence,File Name
blurry.complete,0.5695165,0.1386795,0.046940205250936014,0.08179792667910354,1.5804790102512485,0.939162,T22L600_W1_A4_R4_P206_g225_2.txt
blurry.complete,0.706054,0.14151999999999998,0.05029526702384629,0.08210947125027658,1.5778944698005721,0.930408,T22L600_W1_A4_R4_P206_g225_2.txt
blurry.complete,0.4380995,0.1339735,0.04592362713244675,0.07906387977452158,1.5760224186232428,0.92962,T22L600_W1_A4_R4_P206_g225_2.txt
blurry.complete,0.8469115,0.1433705,0.04720011902527364,0.08492937801491313,1.57304210952155,0.929289,T22L600_W1_A4_R4_P206_g225_2.txt
hair,0.1533925,0.370112,0.023988290226691838,0.04179001369944737,3.1366734645019276,0.925375,T22L600_W1_A4_R4_P206_g225_2.txt
complete,0.854069,0.609116,0.045032015200299404,0.08172850294114041,1.571617964556352,0.918317,T22L600_W1_A4_R4_P206_g225_2.txt
blurry.complete,0.9243715,0.8541605,0.04041720070712466,0.08308976065075642,1.5932638995223785,0.911296,T22L600_W1_A4_R4_P206_g225_2.txt
hair,0.5043249999999999,0.365239,0.03112990073867887,0.039436085251961864,1.5818471981041864,0.911007,T22L600_W1_A4_R4_P206_g225_2.txt
complete,0.6659934999999999,0.64941,0.04466015854203837,0.08366966499275585,1.5681205305948591,0.891567,T22L600_W1_A4_R4_P206_g225_2.txt
hair,0.775237,0.38665,0.024356153103476764,0.04150207717693174,3.131861699580191,0.881995,T22L600_W1_A4_R4_P206_g225_2.txt
complete,0.3312505,0.836361,0.04143256826459111,0.08168103459188061,1.576033776491494,0.870721,T22L600_W1_A4_R4_P206_g225_2.txt
blurry.complete,0.2479805,0.176468,0.045663283828476446,0.08456760836750676,1.567270510864081,0.859712,T22L600_W1_A4_R4_P206_g225_2.txt
hair,0.4513525,0.565329,0.03439233589042766,0.04321022491262915,1.5752159304914517,0.859711,T22L600_W1_A4_R4_P206_g225_2.txt
blurry.complete,0.3922555,0.3562735,0.04193305842649687,0.0769611192811019,1.5691150749511302,0.849603,T22L600_W1_A4_R4_P206_g225_2.txt
blurry.complete,0.6205215,0.365788,0.0396640367587567,0.07513823016946831,1.5694222857074398,0.837735,T22L600_W1_A4_R4_P206_g225_2.txt
blurry.complete,0.22496349999999998,0.3533535,0.03920094366211101,0.07625592206510913,1.5638575741381855,0.833873,T22L600_W1_A4_R4_P206_g225_2.txt
blurry.complete,0.1299421,0.817631,0.041294898776967626,0.07933726953355529,1.5803885736350365,0.796792,T22L600_W1_A4_R4_P206_g225_2.txt
blurry.complete,0.021890185,0.313489,0.0441118994817725,0.059904648375872324,1.57718183543408,0.768452,T22L600_W1_A4_R4_P206_g225_2.txt
complete,0.8902785,0.3711955,0.042088018069279545,0.08001671958409697,1.5698815877283678,0.75293,T22L600_W1_A4_R4_P206_g225_2.txt
blurry.complete,0.0480723,0.17139100000000002,0.04587199299965066,0.07998320048610208,1.5614744982523345,0.674224,T22L600_W1_A4_R4_P206_g225_2.txt
