                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5322,                  3.423,                 1.9803,                0.07881,                0.59865,                0.21099,                0.12965,                 1.1118,                 3.6144,                 1.6898,             0.00026664,             0.00026664,             0.00026664
                      2,                 1.0611,                 1.8013,                 1.6835,                0.10052,                0.79775,                0.32244,                0.17694,                 1.0652,                 3.1812,                 1.6315,             0.00054398,             0.00054398,             0.00054398
                      3,                0.95749,                 1.4111,                 1.7129,                0.13181,                0.85049,                0.47557,                0.32767,                0.97584,                 2.5543,                 1.6303,             0.00082089,             0.00082089,             0.00082089
                      4,                0.89398,                  1.264,                 1.7055,                0.60053,                0.52427,                 0.6011,                0.45926,                0.80301,                 1.9427,                 1.7365,              0.0010974,              0.0010974,              0.0010974
                      5,                0.84295,                 1.1331,                 1.7345,                0.60158,                0.72311,                0.70153,                0.54244,                0.82112,                 1.5254,                 1.7071,              0.0011076,              0.0011076,              0.0011076
                      6,                0.80878,                 1.0493,                 1.7418,                0.59713,                0.77522,                0.67152,                 0.5315,                0.76125,                 1.2123,                 1.7323,              0.0011068,              0.0011068,              0.0011068
                      7,                0.76885,                0.98829,                 1.7121,                0.61229,                0.77718,                0.68707,                0.54877,                0.71523,                  0.979,                 1.7139,              0.0011059,              0.0011059,              0.0011059
                      8,                0.78733,                 0.9688,                 1.7251,                0.60551,                0.80501,                0.71549,                0.56271,                 0.7791,                0.92154,                 1.7116,              0.0011051,              0.0011051,              0.0011051
                      9,                0.76197,                0.92881,                 1.6986,                0.66017,                0.78023,                0.73039,                0.57739,                0.76866,                0.88957,                 1.6611,              0.0011042,              0.0011042,              0.0011042
                     10,                 0.7582,                 0.9071,                  1.683,                0.63812,                0.78499,                0.71054,                0.56288,                0.73565,                0.91707,                  1.685,              0.0011034,              0.0011034,              0.0011034
                     11,                0.73721,                0.85678,                 1.6596,                0.68474,                0.77432,                0.75363,                0.60554,                 0.7115,                0.85146,                 1.6718,              0.0011025,              0.0011025,              0.0011025
                     12,                0.70285,                0.83887,                 1.6879,                0.65443,                0.82109,                0.74608,                0.61089,                0.66185,                0.84335,                 1.7554,              0.0011017,              0.0011017,              0.0011017
                     13,                0.68507,                0.81963,                 1.6618,                0.68045,                0.77241,                0.75152,                0.60828,                0.67824,                0.85705,                 1.7339,              0.0011008,              0.0011008,              0.0011008
                     14,                 0.6958,                0.81304,                 1.6897,                0.65617,                0.78999,                 0.7464,                0.61112,                0.65641,                0.83291,                 1.7205,                 0.0011,                 0.0011,                 0.0011
                     15,                0.69028,                0.79392,                  1.672,                0.64437,                0.80101,                0.72938,                0.59826,                0.67368,                0.88053,                 1.7082,              0.0010992,              0.0010992,              0.0010992
                     16,                0.68873,                0.78904,                 1.6581,                0.66999,                0.73933,                0.73328,                0.58779,                0.71306,                0.83793,                 1.6609,              0.0010983,              0.0010983,              0.0010983
                     17,                0.67856,                0.76798,                 1.6355,                0.67726,                0.76148,                0.74303,                0.60816,                0.67379,                 0.8203,                 1.6654,              0.0010975,              0.0010975,              0.0010975
                     18,                0.65739,                0.74945,                 1.6519,                 0.6359,                0.81217,                0.74225,                0.61561,                0.64517,                0.84226,                 1.6915,              0.0010966,              0.0010966,              0.0010966
                     19,                0.66547,                0.73209,                 1.6569,                0.69089,                0.76541,                0.72635,                0.58552,                0.68883,                0.84754,                 1.6596,              0.0010958,              0.0010958,              0.0010958
                     20,                0.67646,                0.77597,                 1.6615,                0.65336,                0.75166,                0.73513,                0.59469,                0.68897,                0.87595,                 1.6913,              0.0010949,              0.0010949,              0.0010949
                     21,                0.67326,                0.73389,                 1.6392,                0.66946,                0.80655,                0.77507,                0.63829,                0.65785,                0.77484,                  1.649,              0.0010941,              0.0010941,              0.0010941
                     22,                0.64505,                0.68278,                 1.6316,                0.65611,                0.80758,                0.76181,                0.62396,                0.65979,                0.79983,                 1.6738,              0.0010932,              0.0010932,              0.0010932
                     23,                0.64308,                0.69756,                 1.6395,                 0.6204,                0.82334,                0.72256,                0.59833,                0.64604,                 0.8489,                 1.6769,              0.0010924,              0.0010924,              0.0010924
                     24,                0.64311,                0.69147,                  1.629,                0.69416,                0.77156,                0.76884,                0.62711,                0.65369,                0.76489,                 1.6966,              0.0010915,              0.0010915,              0.0010915
                     25,                0.63808,                0.68001,                 1.6413,                 0.6548,                0.79968,                0.76004,                0.63077,                0.65237,                0.83482,                 1.7251,              0.0010907,              0.0010907,              0.0010907
                     26,                0.63305,                0.67649,                 1.6311,                0.67027,                0.73139,                0.72806,                0.59938,                0.65182,                0.81845,                  1.675,              0.0010898,              0.0010898,              0.0010898
                     27,                0.63962,                0.65858,                 1.6355,                0.60704,                0.81184,                0.71569,                0.58548,                0.65752,                0.87556,                 1.7059,               0.001089,               0.001089,               0.001089
                     28,                0.63919,                0.63924,                 1.6349,                0.63135,                0.81085,                0.74942,                0.61866,                 0.6482,                0.85653,                 1.7266,              0.0010882,              0.0010882,              0.0010882
                     29,                0.62944,                0.63402,                 1.6438,                0.67181,                 0.7655,                0.74515,                0.61581,                 0.6413,                  0.805,                 1.6673,              0.0010873,              0.0010873,              0.0010873
                     30,                0.62709,                  0.616,                 1.6211,                0.66492,                0.79093,                0.75162,                0.62079,                0.67105,                0.83029,                 1.6573,              0.0010865,              0.0010865,              0.0010865
                     31,                0.62141,                0.61133,                 1.6224,                0.65302,                0.78555,                0.75021,                0.62102,                0.65086,                0.83712,                 1.6551,              0.0010856,              0.0010856,              0.0010856
                     32,                0.62217,                0.61598,                 1.6361,                0.66472,                0.78885,                0.75021,                0.61744,                0.66856,                0.79643,                  1.687,              0.0010848,              0.0010848,              0.0010848
                     33,                0.63485,                0.61976,                 1.6316,                0.65396,                0.82179,                0.76115,                0.62529,                0.63857,                 0.7737,                 1.6927,              0.0010839,              0.0010839,              0.0010839
                     34,                0.62225,                0.62362,                 1.6146,                0.63931,                0.77506,                 0.7385,                 0.6085,                 0.6452,                0.79009,                 1.6826,              0.0010831,              0.0010831,              0.0010831
                     35,                0.61781,                0.59105,                 1.6177,                0.65814,                0.78879,                0.74475,                0.61633,                0.65031,                0.79645,                 1.6686,              0.0010822,              0.0010822,              0.0010822
                     36,                0.60431,                0.57611,                 1.6076,                0.61378,                0.82329,                0.72843,                0.60132,                0.65675,                0.81762,                 1.6644,              0.0010814,              0.0010814,              0.0010814
                     37,                0.60779,                 0.5942,                 1.6103,                0.71537,                0.73582,                0.76713,                0.63838,                0.64225,                0.77576,                 1.6678,              0.0010805,              0.0010805,              0.0010805
                     38,                0.59215,                0.56818,                 1.6179,                0.71085,                0.76139,                0.77182,                 0.6411,                0.63761,                0.77801,                 1.6687,              0.0010797,              0.0010797,              0.0010797
                     39,                 0.6096,                0.56898,                 1.6171,                0.60935,                0.79334,                0.71573,                0.59043,                0.65219,                0.88113,                 1.6774,              0.0010788,              0.0010788,              0.0010788
                     40,                 0.6039,                0.57075,                 1.6136,                0.69891,                0.76215,                0.78129,                0.64553,                0.64575,                 0.7993,                 1.6496,               0.001078,               0.001078,               0.001078
                     41,                0.60506,                0.56078,                 1.6084,                0.65933,                0.75284,                0.73736,                0.60903,                 0.6417,                0.80241,                 1.6661,              0.0010772,              0.0010772,              0.0010772
                     42,                0.58884,                0.56065,                 1.6228,                0.64442,                0.74058,                0.71759,                0.59533,                0.64668,                0.86275,                 1.6726,              0.0010763,              0.0010763,              0.0010763
                     43,                0.58652,                0.55109,                 1.6057,                0.67165,                0.77955,                0.74978,                0.62628,                0.62587,                0.79662,                 1.6594,              0.0010755,              0.0010755,              0.0010755
                     44,                0.58697,                0.54707,                 1.5875,                0.69645,                0.74456,                  0.752,                0.62277,                0.65316,                0.78452,                 1.6501,              0.0010746,              0.0010746,              0.0010746
                     45,                0.59539,                0.56402,                 1.6144,                0.60883,                0.79144,                0.72553,                0.59821,                0.65347,                0.86692,                 1.6692,              0.0010738,              0.0010738,              0.0010738
                     46,                0.60114,                 0.5611,                  1.602,                 0.6561,                0.80648,                0.76326,                0.63395,                0.64577,                0.81553,                 1.6771,              0.0010729,              0.0010729,              0.0010729
                     47,                0.58708,                0.54492,                 1.6017,                0.64297,                0.81307,                0.76223,                0.63277,                0.65647,                0.80888,                 1.6593,              0.0010721,              0.0010721,              0.0010721
                     48,                0.58424,                0.53363,                 1.5896,                0.71208,                 0.7161,                0.74106,                0.61189,                0.65813,                0.82664,                 1.7024,              0.0010712,              0.0010712,              0.0010712
                     49,                 0.5896,                0.53041,                 1.6031,                0.68147,                0.78107,                0.76919,                0.63406,                0.67599,                0.75236,                 1.6656,              0.0010704,              0.0010704,              0.0010704
                     50,                0.58228,                0.52298,                 1.5939,                0.62415,                 0.7857,                0.72564,                0.59667,                0.65176,                0.86269,                 1.7302,              0.0010695,              0.0010695,              0.0010695
                     51,                0.57627,                0.49979,                 1.5702,                0.68335,                 0.7898,                0.75698,                0.62829,                0.65104,                0.83639,                  1.695,              0.0010687,              0.0010687,              0.0010687
                     52,                0.59549,                0.51076,                 1.6026,                0.68521,                0.76892,                0.75577,                0.62406,                0.65785,                0.84715,                 1.6571,              0.0010679,              0.0010679,              0.0010679
                     53,                0.56966,                0.50484,                 1.5959,                0.63518,                0.79108,                0.73699,                0.61023,                0.66412,                0.82124,                  1.646,               0.001067,               0.001067,               0.001067
                     54,                0.57119,                0.49482,                 1.5777,                0.62101,                0.78046,                0.71639,                 0.5948,                0.64869,                0.88649,                 1.7037,              0.0010662,              0.0010662,              0.0010662
                     55,                0.56731,                0.48359,                 1.5769,                 0.6383,                0.76176,                0.71001,                0.58112,                0.67213,                0.91922,                 1.6594,              0.0010653,              0.0010653,              0.0010653
                     56,                0.56713,                0.47941,                 1.5732,                0.65616,                0.76183,                0.72057,                0.60191,                0.64846,                0.90403,                 1.6744,              0.0010645,              0.0010645,              0.0010645
                     57,                0.56645,                0.47767,                 1.5855,                 0.6784,                0.80184,                0.75844,                0.63307,                0.64786,                0.89203,                 1.6886,              0.0010636,              0.0010636,              0.0010636
                     58,                0.56381,                 0.4669,                  1.576,                0.62896,                0.80428,                0.74357,                0.62285,                0.64303,                0.78804,                 1.6743,              0.0010628,              0.0010628,              0.0010628
                     59,                0.55652,                0.46167,                 1.5793,                0.66622,                0.74126,                0.73336,                0.60751,                0.66081,                0.84607,                 1.6836,              0.0010619,              0.0010619,              0.0010619
                     60,                0.55184,                0.45368,                  1.587,                0.65127,                0.79145,                0.73606,                0.61035,                0.65747,                0.87061,                 1.7129,              0.0010611,              0.0010611,              0.0010611
                     61,                 0.5612,                0.46125,                 1.5746,                0.62361,                0.77928,                0.71744,                0.59293,                 0.6617,                0.89513,                 1.7525,              0.0010602,              0.0010602,              0.0010602
                     62,                0.56465,                0.45995,                  1.579,                 0.7048,                0.74856,                0.76647,                0.63131,                0.66101,                0.78157,                 1.6538,              0.0010594,              0.0010594,              0.0010594
                     63,                0.56081,                0.46256,                 1.5805,                0.66431,                 0.8026,                 0.7712,                0.64786,                0.64342,                0.81739,                  1.665,              0.0010585,              0.0010585,              0.0010585
                     64,                0.54562,                0.44819,                 1.5811,                0.69514,                0.72684,                0.73276,                0.60597,                0.65722,                0.82339,                 1.7197,              0.0010577,              0.0010577,              0.0010577
                     65,                0.54066,                0.43873,                 1.5661,                0.67389,                0.79241,                0.77283,                0.64577,                0.64587,                0.78623,                  1.845,              0.0010569,              0.0010569,              0.0010569
                     66,                0.54339,                0.44405,                 1.5677,                0.64827,                 0.7472,                0.72704,                 0.6034,                0.64182,                0.85275,                 1.7093,               0.001056,               0.001056,               0.001056
                     67,                0.55411,                0.44406,                 1.5752,                0.70041,                 0.7052,                0.72998,                0.60453,                0.64418,                0.86956,                  1.689,              0.0010552,              0.0010552,              0.0010552
                     68,                0.53856,                0.44123,                 1.5736,                0.66599,                0.74794,                0.72266,                0.60068,                0.65104,                0.86552,                 1.6881,              0.0010543,              0.0010543,              0.0010543
                     69,                 0.5404,                0.44113,                 1.5592,                 0.6795,                0.74093,                0.72329,                 0.5988,                0.66257,                0.85328,                 1.6956,              0.0010535,              0.0010535,              0.0010535
                     70,                0.53717,                0.44488,                 1.5518,                0.69127,                 0.7154,                0.73637,                0.60838,                0.65558,                0.85423,                 1.7757,              0.0010526,              0.0010526,              0.0010526
                     71,                0.52745,                0.42415,                 1.5674,                0.68368,                0.73664,                0.73235,                0.61246,                 0.6539,                 0.8488,                 1.7006,              0.0010518,              0.0010518,              0.0010518
                     72,                0.53402,                0.43273,                 1.5726,                  0.703,                0.77287,                0.76146,                0.63484,                0.64161,                0.82395,                 1.7518,              0.0010509,              0.0010509,              0.0010509
                     73,                0.53972,                0.43466,                  1.569,                0.65599,                0.75898,                0.72015,                0.59534,                 0.6603,                0.83821,                 1.7294,              0.0010501,              0.0010501,              0.0010501
                     74,                0.54468,                0.44854,                 1.5544,                0.71224,                0.74358,                0.75729,                0.63449,                0.63844,                0.88183,                 1.6945,              0.0010492,              0.0010492,              0.0010492
                     75,                0.54414,                0.45235,                  1.561,                0.61697,                0.77025,                 0.6961,                0.57467,                0.64478,                0.91842,                 1.6861,              0.0010484,              0.0010484,              0.0010484
                     76,                 0.5375,                 0.4215,                 1.5518,                0.64962,                0.80931,                0.75146,                0.62228,                0.65048,                0.87429,                 1.6969,              0.0010475,              0.0010475,              0.0010475
                     77,                0.53283,                0.41929,                  1.548,                0.62034,                0.76598,                0.72135,                0.59824,                0.65167,                 0.9637,                 1.7006,              0.0010467,              0.0010467,              0.0010467
                     78,                0.52333,                0.40104,                 1.5492,                0.67722,                0.76266,                0.75531,                0.62897,                0.64884,                0.83779,                 1.6875,              0.0010459,              0.0010459,              0.0010459
                     79,                 0.5277,                0.40695,                 1.5554,                0.69722,                0.74889,                0.74881,                0.62216,                0.67229,                0.84912,                 1.7261,               0.001045,               0.001045,               0.001045
                     80,                0.53286,                0.40425,                 1.5647,                 0.7361,                0.71835,                0.74579,                0.61948,                0.67306,                0.88427,                 1.7633,              0.0010442,              0.0010442,              0.0010442
                     81,                0.52978,                0.40888,                 1.5638,                0.66622,                 0.7515,                0.72439,                0.60356,                0.65204,                0.88528,                 1.7986,              0.0010433,              0.0010433,              0.0010433
                     82,                 0.5301,                0.40942,                  1.533,                0.71669,                0.74171,                0.74736,                0.62075,                0.65615,                0.85418,                 1.7276,              0.0010425,              0.0010425,              0.0010425
                     83,                0.51596,                 0.3918,                 1.5462,                0.72368,                0.75142,                0.77471,                0.64489,                0.64379,                0.84988,                 1.6974,              0.0010416,              0.0010416,              0.0010416
                     84,                0.51359,                 0.3914,                  1.544,                0.70141,                0.72177,                0.72126,                0.59798,                0.67959,                0.86774,                 1.8248,              0.0010408,              0.0010408,              0.0010408
