                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1203,                 1.4295,                 1.7234,                0.46267,                0.74344,                0.52942,                0.41108,                0.80893,                 1.4285,                 1.7061,              4.444e-05,              4.444e-05,              4.444e-05
                      2,                0.84019,                 1.1016,                 1.5643,                0.47423,                  0.738,                0.52959,                0.42579,                0.71212,                 1.2281,                 1.7206,             9.9914e-05,             9.9914e-05,             9.9914e-05
                      3,                0.68952,                0.84097,                 1.5644,                0.48245,                 0.6979,                0.51933,                0.40204,                0.82019,                 1.2149,                 1.8195,              0.0001553,              0.0001553,              0.0001553
                      4,                0.74359,                0.79714,                  1.666,                0.51713,                 0.5799,                0.53891,                0.42371,                0.79107,                0.99919,                 1.9008,             0.00021061,             0.00021061,             0.00021061
                      5,                0.66252,                0.70886,                 1.5568,                0.56344,                0.57009,                 0.5652,                0.46271,                0.65719,                 0.8473,                 1.7777,             0.00026583,             0.00026583,             0.00026583
                      6,                0.62666,                0.62682,                 1.4887,                0.60099,                0.58094,                0.58816,                0.48885,                0.60306,                0.78092,                 1.7022,             0.00032096,             0.00032096,             0.00032096
                      7,                0.64557,                0.62601,                 1.5128,                0.57075,                0.64536,                0.61027,                0.50979,                0.58293,                0.75591,                 1.6579,             0.00037601,             0.00037601,             0.00037601
                      8,                0.64883,                0.62069,                 1.5537,                0.54711,                 0.6857,                 0.6257,                0.52347,                0.58137,                0.75154,                 1.6573,             0.00043098,             0.00043098,             0.00043098
                      9,                0.63018,                0.57474,                 1.5396,                 0.7732,                 0.6108,                0.63657,                0.53473,                0.57077,                0.74078,                 1.6607,             0.00048586,             0.00048586,             0.00048586
                     10,                0.58353,                0.56999,                 1.5111,                 0.7925,                 0.6211,                 0.6431,                0.54268,                0.56448,                0.70591,                 1.7306,             0.00054066,             0.00054066,             0.00054066
                     11,                 0.5833,                 0.5829,                 1.5444,                0.80395,                0.62513,                0.64917,                0.54849,                0.56482,                0.67877,                 1.7391,             0.00059537,             0.00059537,             0.00059537
                     12,                0.57014,                0.52641,                 1.5512,                0.79853,                0.61373,                0.64613,                0.54531,                0.55508,                0.71124,                 1.7697,                0.00065,                0.00065,                0.00065
                     13,                 0.5696,                0.53798,                 1.5699,                 0.7913,                0.61776,                 0.6472,                0.54616,                0.55968,                0.74483,                 1.6572,             0.00070454,             0.00070454,             0.00070454
                     14,                0.58738,                0.52595,                 1.5295,                 0.7913,                0.61776,                 0.6472,                0.54616,                0.55968,                0.74483,                 1.6572,               0.000759,               0.000759,               0.000759
                     15,                0.56443,                0.52569,                 1.5129,                0.78148,                0.63059,                0.64786,                0.54796,                0.55532,                0.72088,                 1.6765,             0.00081337,             0.00081337,             0.00081337
                     16,                0.52937,                 0.4967,                 1.5856,                0.78776,                0.62778,                0.64654,                0.54896,                0.55215,                0.69385,                 1.7221,             0.00086766,             0.00086766,             0.00086766
                     17,                 0.5514,                0.50844,                 1.5946,                0.78367,                0.62662,                 0.6422,                0.54658,                0.54852,                0.69834,                 1.6752,             0.00092187,             0.00092187,             0.00092187
                     18,                0.56879,                0.51239,                 1.5188,                0.78367,                0.62662,                 0.6422,                0.54658,                0.54852,                0.69834,                 1.6752,             0.00097599,             0.00097599,             0.00097599
                     19,                0.58939,                0.50534,                 1.4575,                0.78222,                0.62333,                0.64652,                0.54922,                0.56552,                0.70725,                 1.6642,                0.00103,                0.00103,                0.00103
                     20,                0.57587,                0.51722,                 1.5476,                0.77317,                0.63247,                0.64105,                0.54564,                0.56603,                0.69002,                 1.6908,               0.001084,               0.001084,               0.001084
                     21,                 0.5399,                0.46702,                 1.5152,                0.77317,                0.63247,                0.64105,                0.54564,                0.56603,                0.69002,                 1.6908,              0.0010941,              0.0010941,              0.0010941
                     22,                0.55903,                0.50346,                 1.5348,                0.77243,                0.63144,                0.64151,                0.54353,                0.57663,                0.68357,                 1.6886,              0.0010932,              0.0010932,              0.0010932
                     23,                0.54674,                 0.4751,                 1.5111,                0.77453,                0.62802,                0.64317,                0.54634,                0.55668,                0.68395,                 1.7123,              0.0010924,              0.0010924,              0.0010924
                     24,                0.54765,                0.43499,                 1.4564,                0.77453,                0.62802,                0.64317,                0.54634,                0.55668,                0.68395,                 1.7123,              0.0010915,              0.0010915,              0.0010915
                     25,                0.52223,                0.43157,                 1.5875,                0.79378,                0.61111,                0.64548,                0.54809,                0.55456,                0.67664,                 1.6491,              0.0010907,              0.0010907,              0.0010907
                     26,                0.54611,                0.46498,                 1.5192,                0.79378,                0.61111,                0.64548,                0.54809,                0.55456,                0.67664,                 1.6491,              0.0010898,              0.0010898,              0.0010898
